our_soc_code,our_name,felten_soc_code,felten_soc_name,felten_soc_code_2010_final,felten_soc_title,felten_score,match_basis,manual_notes,review_source
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.8298703,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-3031,Driver/Sales Workers,53-3031,Driver/Sales Workers,53-3031,Driver/Sales Workers,-0.7293087,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-3032,Heavy and Tractor-Trailer Truck Drivers,53-3032,"Truck Drivers, Heavy and Tractor-Trailer",53-3032,"Truck Drivers, Heavy and Tractor-Trailer",-1.149057,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-3033,Light Truck Drivers,53-3033,"Truck Drivers, Light or Delivery Services",53-3033,"Truck Drivers, Light or Delivery Services",-1.120501,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-3051,"Bus Drivers, School",53-3022,"Bus Drivers, School",53-3022,"Bus Drivers, School",-0.2977046,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
53-3052,"Bus Drivers, Transit and Intercity",53-3021,"Bus Drivers, Transit and Intercity",53-3021,"Bus Drivers, Transit and Intercity",-0.605453,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
53-3053,Shuttle Drivers and Chauffeurs,53-3041,Taxi Drivers and Chauffeurs,53-3041,Taxi Drivers and Chauffeurs,-0.6322603,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
53-3054,Taxi Drivers,53-3041,Taxi Drivers and Chauffeurs,53-3041,Taxi Drivers and Chauffeurs,-0.6322603,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
53-3099,"Motor Vehicle Operators, All Other",53-3099,"Motor Vehicle Operators, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
53-4011,Locomotive Engineers,53-4011,Locomotive Engineers,53-4011,Locomotive Engineers,-0.4977403,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-0.8320907,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",53-4021,"Railroad Brake, Signal, and Switch Operators",53-4021,"Railroad Brake, Signal, and Switch Operators",-1.217647,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
53-4031,Railroad Conductors and Yardmasters,53-4031,Railroad Conductors and Yardmasters,53-4031,Railroad Conductors and Yardmasters,-0.4662731,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-4041,Subway and Streetcar Operators,53-4041,Subway and Streetcar Operators,53-4041,Subway and Streetcar Operators,-0.6155429,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-4099,"Rail Transportation Workers, All Other",53-4099,"Rail Transportation Workers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
53-5011,Sailors and Marine Oilers,53-5011,Sailors and Marine Oilers,53-5011,Sailors and Marine Oilers,-1.150001,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-5021,"Captains, Mates, and Pilots of Water Vessels",53-5021,"Captains, Mates, and Pilots of Water Vessels",53-5021,"Captains, Mates, and Pilots of Water Vessels",-0.4281868,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-5022,Motorboat Operators,53-5022,Motorboat Operators,53-5022,Motorboat Operators,-0.8871186,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-5031,Ship Engineers,53-5031,Ship Engineers,53-5031,Ship Engineers,-0.5264951,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-6011,Bridge and Lock Tenders,53-6011,Bridge and Lock Tenders,53-6011,Bridge and Lock Tenders,-0.6322159,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-6021,Parking Attendants,53-6021,Parking Lot Attendants,53-6021,Parking Lot Attendants,-0.8353891,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-6031,Automotive and Watercraft Service Attendants,53-6031,Service Station Attendants,53-6031,Service Station Attendants,-1.221489,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-6032,Aircraft Service Attendants,,,,,,,,
53-6041,Traffic Technicians,53-6041,Traffic Technicians,53-6041,Traffic Technicians,0.3995872,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-6051,Transportation Inspectors,53-6051,Transportation Inspectors,53-6051,Transportation Inspectors,-0.18376,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-6061,Passenger Attendants,53-6061,"Transportation Attendants, Except Flight Attendants",53-6061,"Transportation Attendants, Except Flight Attendants",-0.3752249,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-6099,"Transportation Workers, All Other",53-6099,"Transportation Workers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
53-7011,Conveyor Operators and Tenders,53-7011,Conveyor Operators and Tenders,53-7011,Conveyor Operators and Tenders,-0.7554432,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7021,Crane and Tower Operators,53-7021,Crane and Tower Operators,53-7021,Crane and Tower Operators,-1.030619,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7031,Dredge Operators,53-7031,Dredge Operators,53-7031,Dredge Operators,-1.016648,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7041,Hoist and Winch Operators,53-7041,Hoist and Winch Operators,53-7041,Hoist and Winch Operators,-0.9781997,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7051,Industrial Truck and Tractor Operators,53-7051,Industrial Truck and Tractor Operators,53-7051,Industrial Truck and Tractor Operators,-1.39869,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7061,Cleaners of Vehicles and Equipment,53-7061,Cleaners of Vehicles and Equipment,53-7061,Cleaners of Vehicles and Equipment,-1.629897,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",-1.709183,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7063,Machine Feeders and Offbearers,53-7063,Machine Feeders and Offbearers,53-7063,Machine Feeders and Offbearers,-1.037413,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7064,"Packers and Packagers, Hand",53-7064,"Packers and Packagers, Hand",53-7064,"Packers and Packagers, Hand",-1.51362,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7065,Stockers and Order Fillers,53-7065,Stockers and Order Fillers,43-5081,Stock Clerks and Order Fillers,-0.7892948,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7071,Gas Compressor and Gas Pumping Station Operators,53-7071,Gas Compressor and Gas Pumping Station Operators,53-7071,Gas Compressor and Gas Pumping Station Operators,-0.6909992,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7072,"Pump Operators, Except Wellhead Pumpers",53-7072,"Pump Operators, Except Wellhead Pumpers",53-7072,"Pump Operators, Except Wellhead Pumpers",-0.8422927,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7073,Wellhead Pumpers,53-7073,Wellhead Pumpers,53-7073,Wellhead Pumpers,-1.091197,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7081,Refuse and Recyclable Material Collectors,53-7081,Refuse and Recyclable Material Collectors,53-7081,Refuse and Recyclable Material Collectors,-1.283373,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7121,"Tank Car, Truck, and Ship Loaders",53-7121,"Tank Car, Truck, and Ship Loaders",53-7121,"Tank Car, Truck, and Ship Loaders",-1.38776,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-7199,"Material Moving Workers, All Other",53-7199,"Material Moving Workers, All Other (##)",53-7032,Excavating and Loading Machine and Dragline Operators,-1.144356,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
